url;pelmorex_id;name;province;coords
https://www.eltiempo.es/a-baiuca.html;ESXX0249;A Baiuca;A Coruña;(43.3039732, -8.5048967)
https://www.eltiempo.es/mandia.html;ESXX13594;MandiÃ¡;A Coruña;(43.5328329, -8.2371327)
https://www.eltiempo.es/marmancon.html;ESXX13606;MarmancÃ³n;A Coruña;(43.530022, -8.2540579)
https://www.eltiempo.es/bamiro.html;ESXX9644;Bamiro;A Coruña;(43.1379637, -8.9705521)
https://www.eltiempo.es/quembre.html;ESXX11618;Quembre;A Coruña;(43.210281050000006, -8.375835806383305)
https://www.eltiempo.es/leira.html;ESXX10933;Leira;A Coruña;(43.12860415, -8.403231326489472)
https://www.eltiempo.es/jobre.html;ESXX21142;O Xobre;A Coruña;(42.5950178, -8.9326677)
https://www.eltiempo.es/valdovino.html;ESXX7938;ValdoviÃ±o;A Coruña;(43.6068643, -8.143537)
https://www.eltiempo.es/anca.html;ESXX9486;Anca;A Coruña;(43.4994483, -8.1067193)
https://www.eltiempo.es/cabrais.html;ESXX13129;Cabrais;A Coruña;(42.6546168, -8.9953058)
https://www.eltiempo.es/pantin.html;ESXX11423;PantÃ­n;A Coruña;(43.6347309, -8.1041248)
https://www.eltiempo.es/a-marina.html;ESXX10811;A MariÃ±a;A Coruña;(42.9739739, -8.2820597)
https://www.eltiempo.es/rumille.html;ESXX11776;Rumille;A Coruña;(42.7594123, -8.5970239)
https://www.eltiempo.es/a-coruna/canas.html;ESXX9936;CaÃ±Ã¡s;A Coruña;(43.2332936, -8.3256469)
https://www.eltiempo.es/bribes.html;ESXX9838;Bribes;A Coruña;(43.2763334, -8.304566991215433)
https://www.eltiempo.es/sorribas.html;ESXX12072;Sorribas;A Coruña;(42.7904782, -8.6773169)
https://www.eltiempo.es/borrifans.html;ESXX9809;BorrifÃ¡ns;A Coruña;(43.1387172, -8.2122999)
https://www.eltiempo.es/erbecedo.html;ESXX7889;Erbecedo;A Coruña;(43.129932600000004, -8.720449508779163)
https://www.eltiempo.es/pragais.html;ESXX11567;Pragais;A Coruña;(42.9870187, -8.8765132)
https://www.eltiempo.es/cambeda.html;ESXX9917;Cambeda;A Coruña;(43.0934871, -9.0404149)
https://www.eltiempo.es/ribeira.html;ESXX20944;Ribeira;A Coruña;(42.5805628, -9.013685)
https://www.eltiempo.es/regoa.html;ESXX11675;RÃ©goa;A Coruña;(43.6931505, -7.9841251)
https://www.eltiempo.es/caamano.html;ESXX9869;CaamaÃ±o;A Coruña;(42.658084, -9.0233388)
https://www.eltiempo.es/fumineo.html;ESXX13395;FumiÃ±eo;A Coruña;(43.0676293, -9.1641485)
https://www.eltiempo.es/burres.html;ESXX9862;Burres;A Coruña;(42.9175862, -8.2151601)
https://www.eltiempo.es/raris.html;ESXX11655;RarÃ­s;A Coruña;(42.7839305, -8.5690496)
https://www.eltiempo.es/buscas.html;ESXX9863;BuscÃ¡s;A Coruña;(43.1015063, -8.374827040699586)
https://www.eltiempo.es/cortinan.html;ESXX10191;CortiÃ±Ã¡n;A Coruña;(43.2815471, -8.2447207)
https://www.eltiempo.es/lousame.html;ESXX7899;Lousame;A Coruña;(42.7557877, -8.8355677)
https://www.eltiempo.es/aranton.html;ESXX9519;ArantÃ³n;A Coruña;(43.0522822, -8.8456308)
https://www.eltiempo.es/recemel.html;ESXX11667;Recemel;A Coruña;(43.4989682, -7.9433883)
https://www.eltiempo.es/o-freixo.html;ESXX11723;O Freixo;A Coruña;(43.5219231, -7.7942198)
https://www.eltiempo.es/dor.html;ESXX13290;Dor;A Coruña;(43.1374556, -9.1375512)
https://www.eltiempo.es/requian.html;ESXX11697;RequiÃ¡n;A Coruña;(42.8202401, -8.5605966)
https://www.eltiempo.es/sigras.html;ESXX14003;SigrÃ¡s;A Coruña;(43.2864844, -8.36206594104862)
https://www.eltiempo.es/bendimon.html;ESXX9735;BendimÃ³n;A Coruña;(42.8137871, -8.9311786)
https://www.eltiempo.es/carral.html;ESXX1708;Carral;A Coruña;(43.2206463, -8.3614395)
https://www.eltiempo.es/lamastredo.html;ESXX10813;Lamastredo;A Coruña;(43.1619313, -9.1464462)
https://www.eltiempo.es/goente.html;ESXX10601;Goente;A Coruña;(43.4375118, -7.9788077)
https://www.eltiempo.es/sinagoga.html;ESXX12039;Sinagoga;A Coruña;(43.0070607, -9.1874108)
https://www.eltiempo.es/juno.html;ESXX10741;XuÃ±o;A Coruña;(42.6385649, -9.0275792)
https://www.eltiempo.es/rairiz.html;ESXX11647;Rairiz;A Coruña;(42.85384594999999, -8.045959856393166)
https://www.eltiempo.es/ruibo.html;ESXX11775;Ruibo;A Coruña;(42.9836748, -9.2322039)
https://www.eltiempo.es/santiago-de-compostela.html;ESXX0146;Santiago de Compostela;A Coruña;(42.8804219, -8.5458608)
https://www.eltiempo.es/bainas.html;ESXX13029;BaÃ­Ã±as;A Coruña;(43.0305579, -9.019264)
https://www.eltiempo.es/serans.html;ESXX21190;SerÃ¡ns;A Coruña;(42.6110401, -9.0480993)
